county,year,violent crime,violent crime rate per 1000 persons,property crime,property crime rate per 1000 persons,unemployment rate,high school graduate rate,per capita personal income,population,population per 1000,land area,population density,percent of population below poverty level,full-time law enforcement employees,full-time law enforcement employees rate,income inequality,% Males 15-24 years,% Males 25-39 years
San Diego County,2012,11839,3.75422,69624,22.0781786,0.09,0.79,47704,"3,153,521","3,154","4,206.63",749.65,13.9,"3,816",1.21,14.82,8.534032898,11.39544393
San Diego County,2013,11173,3.49846,70276,22.0046542,0.08,0.80,48815,"3,193,688","3,194","4,206.63",759.2,14.4,"3,954",1.24,15.33,8.437272187,11.45058368
San Diego County,2014,10585,3.27682,59050,18.2802113,0.07,0.80,51230,"3,230,269","3,230","4,206.63",767.9,14.7,"4,123",1.28,15.85,8.334911627,11.49816122
San Diego County,2015,10943,3.35217,63444,19.4348265,0.05,0.82,53679,"3,264,449","3,264","4,206.63",776.02,14.5,"4,127",1.26,15.82,8.187408473,11.60301446
San Diego County,2016,10959,3.3366,61356,18.6805997,0.05,0.82,55056,"3,284,477","3,284","4,206.63",780.79,14,"4,254",1.3,15.58,8.041601349,11.76084197
San Diego County,2017,11288,3.41078,56797,17.1617602,0.04,0.80,56802,"3,309,509","3,310","4,206.63",786.74,13.3,"4,290",1.3,15.37,7.875437963,11.88361176
San Francisco County,2012,5874,7.11599,40038,48.5035707,0.07,0.55,87735,"825,465",825,46.87,17611.8,13.2,"1,017",1.23,24.33,5.529959827,15.52447438
San Francisco County,2013,7164,8.53188,49438,58.877612,0.06,0.55,88777,"839,674",840,46.87,17914.96,13.5,"1,012",1.21,24.82,5.384702649,15.69691621
San Francisco County,2014,6822,8.04056,45936,54.1412084,0.04,0.75,97993,"848,448",848,46.87,18102.15,13.3,990,1.17,25.12,5.135032422,15.81183251
San Francisco County,2015,6789,7.91052,53955,62.8682022,0.04,0.72,105863,"858,224",858,46.87,18310.73,13.2,960,1.12,26.31,4.936845817,16.03202508
San Francisco County,2016,6269,7.24146,48437,55.9506716,0.03,0.80,113024,"865,709",866,46.87,18470.43,12.5,"1,027",1.19,26.77,4.789380935,16.30427552
San Francisco County,2017,6410,7.33403,55253,63.2179568,0.03,0.72,119591,"874,008",874,46.87,18647.49,11.7,"1,054",1.21,26.36,4.6343532,16.56150963
San Joaquin County,2012,6249,8.94561,29264,41.8921917,0.15,0.76,33893,"698,555",699,"1,391.32",502.08,17.5,682,0.98,12.83,8.116832306,9.859710408
San Joaquin County,2013,4980,7.06645,28603,40.5866569,0.12,0.80,35152,"704,739",705,"1,391.32",506.53,18.2,700,0.99,12.95,8.015543649,9.857625109
San Joaquin County,2014,5346,7.50701,25092,35.2349417,0.11,0.80,36816,"712,134",712,"1,391.32",511.84,19.4,721,1.01,13.49,7.956431068,9.89581114
San Joaquin County,2015,5756,7.95186,25031,34.5800822,0.09,0.82,39086,"723,856",724,"1,391.32",520.27,18.6,702,0.97,13.74,7.858144898,9.947018858
San Joaquin County,2016,6005,8.16652,22629,30.7743986,0.08,0.83,40452,"735,319",735,"1,391.32",528.5,17.8,699,0.95,14.07,7.76266178,10.05165179
San Joaquin County,2017,5991,8.01726,21751,29.1075565,0.07,0.81,41601,"747,263",747,"1,391.32",537.09,17.1,724,0.97,14.4,7.634160184,10.28070035
San Luis Obispo County,2012,906,3.33697,6252,23.027285,0.08,0.88,44068,"271,504",272,"3,298.57",82.31,13.7,378,1.39,14.08,10.24126225,9.114723402
San Luis Obispo County,2013,1069,3.9114,6208,22.7146328,0.07,0.89,45257,"273,304",273,"3,298.57",82.86,14.3,381,1.39,14.38,10.17438275,8.947321514
San Luis Obispo County,2014,1177,4.27029,5683,20.6185941,0.06,0.89,47744,"275,625",276,"3,298.57",83.56,14.8,379,1.38,14.79,10.20818137,8.932158696
San Luis Obispo County,2015,1134,4.09876,6786,24.527504,0.05,0.92,50645,"276,669",277,"3,298.57",83.88,14.8,385,1.39,15.16,10.245863,8.971501933
San Luis Obispo County,2016,1115,4.00876,6687,24.041763,0.04,0.92,51694,"278,141",278,"3,298.57",84.32,14.2,396,1.42,14.83,10.16018372,9.144165351
San Luis Obispo County,2017,829,2.96909,5812,20.8158734,0.04,0.90,54210,"279,210",279,"3,298.57",84.65,13.8,375,1.34,14.88,10.08999747,9.222509005
San Mateo County,2012,1764,2.39933,14433,19.6312326,0.07,0.84,87241,"735,206",735,448.41,1639.58,7.4,601,0.82,14.99,5.902435304,10.77194443
San Mateo County,2013,1776,2.38134,14751,19.7787876,0.05,0.88,86833,"745,799",746,448.41,1663.21,7.6,619,0.83,15.07,5.855205245,10.77554579
San Mateo County,2014,1561,2.07387,14186,18.8468181,0.04,0.88,92531,"752,700",753,448.41,1678.6,7.6,638,0.85,15.65,5.803864635,10.82076457
San Mateo County,2015,1707,2.24504,15548,20.4486659,0.03,0.88,101261,"760,343",760,448.41,1695.64,8,662,0.87,16.22,5.707825107,10.92359632
San Mateo County,2016,1634,2.13152,14893,19.4276203,0.03,0.89,106115,"766,589",767,448.41,1709.57,7.7,681,0.89,16.29,5.661184263,11.02700239
San Mateo County,2017,1928,2.50306,15142,19.6583993,0.03,0.87,116077,"770,256",770,448.41,1717.75,7.3,710,0.92,16.46,5.61163141,11.21854738
Santa Barbara County,2012,1643,3.83705,10164,23.7369043,0.09,0.85,50476,"428,194",428,"2,735.09",156.56,15.3,581,1.36,15.22,10.0910452,10.19145361
Santa Barbara County,2013,1416,3.26966,9824,22.6843973,0.07,0.85,49944,"433,073",433,"2,735.09",158.34,16,606,1.4,16.12,10.04203254,10.24287319
Santa Barbara County,2014,1294,2.95089,9088,20.7246324,0.06,0.84,52631,"438,512",439,"2,735.09",160.33,16.6,612,1.4,16.53,10.07759613,10.17787072
Santa Barbara County,2015,1356,3.06104,9122,20.5920264,0.05,0.88,55620,"442,987",443,"2,735.09",161.96,16.3,610,1.38,15.95,10.12586119,10.02560514
