state,year,violent crime,violent_murder,violent_rape,violent_robbery,violent_assault,property crime,property_buglary,property_larceny,property_auto theft,unemployment,population,Land Area,population density,poverty rate,employee rate,per capita income,% Males 15-24 years,% Males 25-39 years
Alabama,2007,448,8.9,33.4,159.9,245.8,3971.6,979.5,2684.6,307.5,4,4627851,135767,34.08671474,14.5,0.000350271,32739,7.240125025,9.170825032
Alaska,2007,661.2,6.4,77.4,85.3,492,3379.5,538.7,2487,353.8,6.3,683478,1723337,0.396601477,7.6,0.000822265,43906,7.806414731,10.70150894
Arizona,2007,482.7,7.4,29.3,151.7,294.3,4414,912.2,2738.4,763.4,3.9,6338755,295234,21.47027443,14.3,0.000343758,35872,7.337797351,10.08323173
Arkansas,2007,529.4,6.7,44.7,106.7,371.2,3953.1,1131.4,2574.4,247.3,5.3,2834797,137732,20.58197804,13.8,1.69E-05,31303,7.027597516,9.516538303
California,2007,522.6,6.2,24.7,193,298.8,3033,648.4,1784.4,600.2,5.4,36553215,423967,86.21712303,12.7,0.00032517,43385,7.821757134,10.76114357
Colorado,2007,347.8,3.1,41.1,71,232.5,3006.1,591.4,2069.3,345.4,3.7,4861515,269601,18.03225878,9.8,0.000213925,42074,7.15068409,11.07852465
Connecticut,2007,256,3,18.8,103,131.2,2399.9,432.9,1705.2,261.7,4.5,3502309,14357,243.9443477,8.9,0.000529651,57684,6.828646025,8.814280685
Delaware,2007,689.2,4.3,38.9,197.3,448.8,3370.1,733.3,2369,267.8,3.4,864764,6446,134.155135,9.3,0.001815524,41733,7.381601838,9.227002297
district of Columbia,2007,1414.3,30.8,32.6,724.3,626.6,4913.9,667.4,2954.7,1291.9,6,588292,177,3323.683616,18,0.000754253,59824,7.816458792,13.23147542
Florida,2007,722.6,6.6,33.7,209.1,473.2,4089.3,996.3,2689.4,403.6,4,18251243,170312,107.1635763,12.5,0.000295596,39594,6.781734139,9.172417396
Georgia,2007,493.2,7.5,22.8,181.7,281.2,3901,950.2,2504.6,446.3,4.5,9544750,153910,62.01513872,13.6,0.000315147,35680,7.477245347,10.13363514
Hawaii,2007,272.8,1.7,25.4,86.1,159.6,4225.4,708.8,2993.3,523.2,2.8,1283388,28313,45.32857698,7.5,0.000356868,40490,7.234498327,10.19863306
Idaho,2007,239.4,3.3,38.5,15.5,182,2246.6,465.3,1632.8,148.5,3.1,1499402,216443,6.927468202,9.9,0.003111907,32707,7.318995358,9.624980196
Illinois,2007,533.2,5.9,31.9,179.7,315.7,2935.8,587.6,2084.5,263.7,5,12852548,149995,85.68650955,10,0.000152421,42513,7.147983835,10.18342902
Indiana,2007,333.6,5.6,27.5,124.1,176.4,3396.6,739.4,2349,308.2,4.6,6345289,94326,67.26977716,11.8,0.000154603,34055,7.259390526,9.564737517
Iowa,2007,294.7,1.2,30.3,43.9,219.2,2615.6,567,1885.1,163.5,3.7,2988046,145746,20.5017359,8.9,0.00046686,36680,7.113008505,9.222383441
Kansas,2007,452.7,3.9,44.3,72.6,331.8,3678.7,729.9,2640.2,308.5,4.2,2775997,213100,13.02673393,11.7,0.000837177,38057,7.362792021,9.586454041
Kentucky,2007,295,4.8,32.6,95.9,161.7,2518.3,652.7,1661.1,204.5,5.4,4241474,104656,40.52776716,15.5,0.000416129,31728,6.988960131,9.725895567
Louisiana,2007,729.5,14.2,32.4,141.7,541.2,4076,1038.9,2683.5,353.6,4.1,4293204,135659,31.64702674,16.1,0.000145113,36432,7.404921373,9.824830319
Maine,2007,118,1.6,29.7,26.5,60.2,2428.8,506.8,1826.4,95.6,4.7,1317207,91633,14.37481038,10.9,0.00296081,35686,6.471065076,8.319940812
Maryland,2007,641.9,9.8,21,236,375.1,3431.5,660.2,2265.9,505.4,3.5,5618344,32131,174.8574274,8.8,0.000535033,47327,7.050673295,9.561872003
Massachusetts,2007,431.5,2.9,25.3,108.6,294.7,2391.5,552.9,1606.1,232.4,4.6,6449755,27336,235.9436275,11.2,0.000404977,50085,7.178400078,9.442727619
Michigan,2007,536,6.7,45.5,133.2,350.7,3065.7,748.9,1898.3,418.5,7,10071822,250487,40.20896094,10.8,8.09E-05,34929,7.256850871,8.972998037
Minnesota,2007,288.7,2.2,36,91.8,158.6,3036.6,570.8,2224.7,241,4.6,5197621,225163,23.08381484,9.3,0.000215676,41655,6.881881374,10.00100746
Mississippi,2007,291.3,7.1,35.6,98.2,150.3,3200.8,957.9,1990,252.9,6.2,2918785,125438,23.26874631,22.6,0.000901402,29554,7.484234309,9.319078849
Missouri,2007,504.9,6.5,29.2,121.9,347.3,3738.4,739.1,2594.7,404.6,5.1,5878415,180540,32.56018057,12.8,4.75E-05,35502,7.097960059,9.382919804
Montana,2007,287.5,1.5,30.3,19.9,235.8,2765.4,316,2266.2,183.2,3.6,957861,380831,2.515186526,13,0.000770467,34183,7.02472082,9.167011566
Nebraska,2007,302.4,3.8,29.7,62.4,206.5,3161.4,509.8,2358.6,293.1,3,1774571,200330,8.858238906,9.9,0.000533087,38531,7.244508705,9.412933079
Nevada,2007,750.6,7.5,42.7,270.2,430.2,3777.8,968.3,1939.1,870.5,4.5,2565382,286380,8.957964942,9.7,0.000187496,40212,6.877838286,11.05548821
New Hampshire,2007,137.3,1.1,25.3,32.8,78,1892,378.9,1414.4,98.7,3.5,1315828,24214,54.34162055,5.8,0.004519588,44695,6.835203911,8.408776034
New Jersey,2007,329.3,4.4,12.1,144.5,168.3,2213.1,431.5,1528.8,252.7,4.3,8685920,22591,384.4858572,8.7,7.48E-05,50473,6.696039433,9.5588389
New Mexico,2007,664.2,8.2,52.4,117.8,485.8,3725.7,964.1,2307.9,453.8,3.8,1969915,314917,6.255346647,14,0.003101149,31950,7.276281963,9.636157194
New York,2007,414.1,4.2,15.2,161.1,233.7,1978.6,336.1,1497.2,145.3,4.6,19297729,141297,136.5756456,14.5,0.000153127,47428,7.230075667,9.881103411
North Carolina,2007,466.4,6.5,26.3,149.5,284.1,4087.3,1200.7,2577.9,308.6,4.7,9061032,139391,65.0044264,15.5,2.06E-05,36211,7.151336642,9.89431508
North Dakota,2007,142.4,1.9,32.4,10.9,97.2,1889.6,338.3,1408.4,142.9,3.1,639715,183108,3.493648557,9.3,0.004964711,36709,8.384931797,9.582779197
Ohio,2007,343.2,4.5,38.8,159.2,140.7,3455.2,859.1,2301.6,294.6,5.6,11466917,116098,98.76928974,12.8,0.000769646,35629,6.894490899,9.127917528
Oklahoma/g,2007,499.6,6.1,43.1,93.2,357.1,3526.4,943.3,2211.1,372.1,4.1,3617316,181037,19.98108674,13.4,0.000422689,35711,7.175470795,9.976853228
